canonical_perturbation,target_a,target_b,original_condition_labels,total_n,minimum_lane_n,observed_rms,additive_rmse,delta_pearson,cosine,residual_over_response_rms,mean_same_sign_lane_fraction,fraction_genes_majority_lane_sign,se_undefined_lane_n_lt_2,lolo_max_rms_change
FOSB+IKZF3,FOSB,IKZF3,FOSB+IKZF3,204,17,0.08452203149246387,0.04552617596135247,0.9404500338779115,0.9406145967586161,0.5386308771507895,0.5952923686818632,0.6576808721506442,False,0.008456927477162725
CBL+UBASH3B,CBL,UBASH3B,CBL+UBASH3B,326,32,0.10144626446525569,0.04518136069494105,0.9197239604882422,0.9196563970093301,0.44537234498580486,0.5971010901883053,0.6618434093161546,False,0.006130701926284723
FOXF1+FOXL2,FOXF1,FOXL2,FOXF1+FOXL2,173,14,0.09300731064369319,0.044894947823447336,0.8978331430701324,0.8965486521545457,0.4827034295770346,0.593607532210109,0.6521308225966304,False,0.009365040360869705
CBL+CNN1,CBL,CNN1,CBL+CNN1,288,29,0.11155104973930352,0.04440410561006236,0.920724084197691,0.9206076795798699,0.3980608493943842,0.6018334985133796,0.6596630327056492,False,0.00690013663106558
IGDCC3+MAPK1,IGDCC3,MAPK1,IGDCC3+MAPK1,293,27,0.048763539180798406,0.04418173584827339,0.8377115026789677,0.837720567828897,0.9060403857165233,0.603617443012884,0.6701684836471754,False,0.00696348773075647
COL2A1+KLF1,COL2A1,KLF1,KLF1+COL2A1,251,27,0.07519916913747816,0.04317568235425015,0.861373464103117,0.8620709346400366,0.5741510557825036,0.5953171456888008,0.6658077304261645,False,0.006282925030127672
CEBPB+OSR2,CEBPB,OSR2,CEBPB+OSR2,188,12,0.10523375266760604,0.042633509077593126,0.9581164953023478,0.9589657295513886,0.40513150958567823,0.5836719524281467,0.6556987115956392,False,0.011173940916902972
IRF1+SET,IRF1,SET,IRF1+SET,367,27,0.10107558965816124,0.04210209639719302,0.9252763518912865,0.9250455244149731,0.4165406953309179,0.5968780971258671,0.6707631318136769,False,0.007433335108064813
FEV+ISL2,FEV,ISL2,FEV+ISL2,272,25,0.10044334691037134,0.04112491420533458,0.9250121253243246,0.9258601151604681,0.409433929377439,0.5995787908820615,0.6646184340931616,False,0.00797344599228916
CNN1+UBASH3B,CNN1,UBASH3B,UBASH3B+CNN1,355,34,0.10911585774764242,0.040223959390483975,0.9449077586213412,0.944908382426003,0.36863532231503776,0.5985629335976214,0.6689791873141725,False,0.006074509228979675
KLF1+SET,KLF1,SET,SET+KLF1,541,51,0.0725915294208938,0.04011476236798699,0.8893652521642242,0.8893566861791067,0.5526094117041828,0.5971506442021803,0.6713577799801784,False,0.004666494947031182
CLDN6+KLF1,CLDN6,KLF1,KLF1+CLDN6,215,24,0.09286739991680766,0.039934192474369294,0.9253634350049991,0.9248490009833022,0.4300130348232327,0.5880822596630327,0.6614469772051537,False,0.008833517338399115
S1PR2+SGK1,S1PR2,SGK1,SGK1+S1PR2,312,34,0.09022228466311791,0.039568647599298894,0.9068035367227083,0.906291898918118,0.43856845065545336,0.5966055500495541,0.66402378592666,False,0.007642966156032971
FOXL2+HOXB9,FOXL2,HOXB9,FOXL2+HOXB9,87,8,0.09951090652377481,0.03954125304308208,0.9200651996008333,0.9205175712103689,0.39735597257005206,0.5730673934588701,0.6186323092170466,False,0.012961752547664365
PTPN12+ZBTB10,PTPN12,ZBTB10,ZBTB10+PTPN12,230,15,0.0778406592920456,0.03857653895753434,0.9212319210688518,0.9213725243813573,0.49558340471913764,0.5988354806739346,0.6584737363726462,False,0.011551891303940444
ELMSAN1+ZBTB10,ELMSAN1,ZBTB10,ZBTB10+ELMSAN1,161,15,0.09423947777132359,0.03826952749292292,0.9212232240894017,0.9211846917405284,0.4060880683760333,0.5863230921704659,0.6539147670961348,False,0.012644539021142298
FOXA3+HOXB9,FOXA3,HOXB9,FOXA3+HOXB9,301,31,0.09776196798373755,0.03727102826617793,0.9311044683786698,0.9308894497780598,0.3812426144324127,0.5936818632309218,0.6634291377601585,False,0.008976962445053388
DUSP9+PRTG,DUSP9,PRTG,DUSP9+PRTG,238,17,0.10060500570895083,0.03720737202063614,0.9723825292468607,0.9723655679878643,0.3698361901422347,0.5871159563924678,0.6566897918731417,False,0.008737676180903356
DUSP9+ETS2,DUSP9,ETS2,DUSP9+ETS2,698,65,0.06450965755348906,0.03703537653717583,0.87764184038659,0.8778797911953619,0.5741059236978192,0.5948711595639247,0.6622398414271556,False,0.0051392371968304856
OSR2+PTPN12,OSR2,PTPN12,PTPN12+OSR2,283,25,0.03512295811471166,0.03678833788518902,0.7614627469848229,0.7627735361448347,1.0474157035702467,0.5986620416253716,0.6642220019821605,False,0.006818013853835812
FOXL2+POU3F2,FOXL2,POU3F2,POU3F2+FOXL2,286,26,0.0876864517869521,0.03574797526308167,0.9155155283935785,0.9157763341300588,0.407679573464062,0.5995787908820615,0.6650148662041625,False,0.00868781095101151
FOSB+PTPN12,FOSB,PTPN12,FOSB+PTPN12,291,29,0.04061380266527509,0.0351582812701875,0.7650564798084935,0.7627106396835316,0.8656732185348387,0.597621407333994,0.6606541129831517,False,0.007191914748212113
DUSP9+IGDCC3,DUSP9,IGDCC3,DUSP9+IGDCC3,323,36,0.09562828846806662,0.03499685579333492,0.9707034566728022,0.9705710782493501,0.36596760596652844,0.5962338949454906,0.6699702675916749,False,0.0066742966300491315
ETS2+MAPK1,ETS2,MAPK1,ETS2+MAPK1,432,47,0.10128844707765149,0.034894557773664535,0.9553379661232148,0.9555928681343406,0.344506790067707,0.5961347869177404,0.6727452923686819,False,0.00594019321559788
AHR+KLF1,AHR,KLF1,AHR+KLF1,412,36,0.0654481509225572,0.03460734318380862,0.9124231278033587,0.9130982345682407,0.5287749569083844,0.5892963330029732,0.6594648166501487,False,0.0059212583372729565
FOXA1+KLF1,FOXA1,KLF1,KLF1+FOXA1,323,33,0.06514977152373701,0.03454955361420556,0.860660857590895,0.8596801787772318,0.5303096665752326,0.5892220019821606,0.6630327056491576,False,0.006337293955357245
CNN1+MAPK1,CNN1,MAPK1,CNN1+MAPK1,325,30,0.05085738649837842,0.03434388511378096,0.8698213964101198,0.8696879422137328,0.6752978766393356,0.6010406342913776,0.6703666997026759,False,0.0066947295489460925
FOXA1+FOXL2,FOXA1,FOXL2,FOXA1+FOXL2,179,14,0.07677885660342594,0.03380289966383086,0.899092183736645,0.8982020856149715,0.44026312918969085,0.5788404360753221,0.644400396432111,False,0.009825446559714906
CDKN1A+CDKN1B,CDKN1A,CDKN1B,CDKN1B+CDKN1A,98,6,0.07961229533423628,0.033761082694908864,0.9586427346106549,0.958640285972568,0.42406870136289526,0.583597621407334,0.6449950445986125,False,0.010642922557316708
OSR2+UBASH3B,OSR2,UBASH3B,UBASH3B+OSR2,677,61,0.03335470260056187,0.033605532653069134,0.7817215154535466,0.7844504966181524,1.0075200806168494,0.6019078295341923,0.6681863230921705,False,0.0050863741933681785
IKZF3+MAP2K3,IKZF3,MAP2K3,MAP2K3+IKZF3,220,24,0.09777799918364273,0.033075886029742124,0.951936879296043,0.9519403871801625,0.33827534113906665,0.591179385530228,0.6580773042616452,False,0.008551850486066426
DUSP9+KLF1,DUSP9,KLF1,DUSP9+KLF1,320,30,0.10183802524993575,0.032899781213136775,0.9524928947811783,0.9526145403055706,0.3230598897847102,0.5882804757185331,0.6626362735381566,False,0.005907398882364993
KIF18B+KIF2C,KIF18B,KIF2C,KIF18B+KIF2C,83,4,0.03570360803047401,0.03267383193270424,0.633466331100167,0.6333412767919563,0.9151408985001244,0.5860753221010901,0.6469772051536175,False,0.01410354060782383
FEV+MAP7D1,FEV,MAP7D1,FEV+MAP7D1,246,25,0.08680957817478696,0.03265904626547235,0.9263990056992686,0.9270462176557309,0.3762147789696076,0.5827304261645193,0.6491575817641229,False,0.00800952919195216
SAMD1+TGFBR2,SAMD1,TGFBR2,SAMD1+TGFBR2,59,5,0.07078626637192476,0.03253227766634254,0.8880493454433748,0.8881500489755596,0.4595845964725933,0.5719524281466799,0.6164519326065411,False,0.014625233514604133
FOXA1+HOXB9,FOXA1,HOXB9,FOXA1+HOXB9,266,26,0.08439752000760319,0.032513956760730114,0.9314421459142099,0.9312579616611427,0.38524777455310305,0.5916749256689792,0.6604558969276512,False,0.007577113675695002
ETS2+IKZF3,ETS2,IKZF3,ETS2+IKZF3,388,39,0.1063271395818934,0.03246457398306464,0.955466836428213,0.9557926762734742,0.305327258033311,0.5858275520317145,0.6541129831516352,False,0.007352632148668867
CBFA2T3+POU3F2,CBFA2T3,POU3F2,POU3F2+CBFA2T3,202,18,0.06729476441689335,0.03222968972121314,0.8800053813701935,0.8803119264730022,0.47893309383697547,0.5909563924677899,0.6580773042616452,False,0.009188099423674633
