canonical_perturbation,target_a,target_b,observed_rms,residual_rms,residual_over_response_rms,projection_coefficient,squared_norm_fraction,cosine_to_neg_shared_shift,orthogonal_residual_rms,role
FEV+ISL2,FEV,ISL2,0.10044334691037134,0.04112491420533458,0.409433929377439,0.8762595279189856,0.3247684466896833,-0.5698845906757641,0.03379335955757434,descriptive_alignment_not_confounding_proof
CDKN1A+CDKN1B,CDKN1A,CDKN1B,0.07961229533423628,0.033761082694908864,0.42406870136289526,-0.7044822013454768,0.3114767614294262,0.5581010315609767,0.028014035014253327,descriptive_alignment_not_confounding_proof
BPGM+SAMD1,BPGM,SAMD1,0.07904828554875593,0.029021374849093586,0.36713477904835257,-0.601513899774672,0.3073078831279953,0.5543535723056138,0.02415394679464364,descriptive_alignment_not_confounding_proof
CEBPE+RUNX1T1,CEBPE,RUNX1T1,0.059133728815586484,0.04999762407380441,0.8455009530977865,-1.0336088849982523,0.30572578282123436,0.5529247533084718,0.04165957983988986,descriptive_alignment_not_confounding_proof
PTPN12+UBASH3A,PTPN12,UBASH3A,0.08886230476300201,0.04595755290737759,0.5171771431086278,0.9465369487115872,0.3034447884568299,-0.5508582289998306,0.038356120010217404,descriptive_alignment_not_confounding_proof
PTPN9+UBASH3B,PTPN9,UBASH3B,0.07646765924587651,0.027623247057123546,0.3612409132114649,0.5573311331758499,0.291202758085181,-0.5396320580591751,0.023256038469431903,descriptive_alignment_not_confounding_proof
CEBPE+ETS2,CEBPE,ETS2,0.08846189599975553,0.04806779263970275,0.5433728510616095,-0.9543917278548751,0.28200921939493206,0.5310454023856455,0.040729925231394765,descriptive_alignment_not_confounding_proof
CEBPE+ZC3HAV1,CEBPE,ZC3HAV1,0.04209047813037377,0.0662762551707942,1.57461397719232,-1.3141112134544095,0.28123324060689614,0.530314284747164,0.05618908415745006,descriptive_alignment_not_confounding_proof
OSR2+PTPN12,OSR2,PTPN12,0.03512295811471166,0.03678833788518902,1.0474157035702467,-0.7269697259655648,0.2793384050186547,0.528524743998476,0.031230278412865378,descriptive_alignment_not_confounding_proof
FOXF1+FOXL2,FOXF1,FOXL2,0.09300731064369319,0.044894947823447336,0.4827034295770346,0.8839897048761752,0.277343379675292,-0.5266340092277483,0.03816484157950962,descriptive_alignment_not_confounding_proof
IGDCC3+PRTG,IGDCC3,PRTG,0.07473064427285663,0.05022605230308826,0.6720944639484552,-0.9753273088678748,0.26974972548061776,0.51937435966807,0.0429205134809209,descriptive_alignment_not_confounding_proof
CEBPA+KLF1,CEBPA,KLF1,0.1392658086768967,0.07183394715059067,0.5158046173217494,-1.3926254988993558,0.26886084270227983,0.5185179290075511,0.061422820164148385,descriptive_alignment_not_confounding_proof
CEBPA+CEBPB,CEBPA,CEBPB,0.18116952445532147,0.10568248152288494,0.5833347625138106,-2.046105335556529,0.26814413515707325,0.5178263561823339,0.09040985674447719,descriptive_alignment_not_confounding_proof
CEBPB+PTPN12,CEBPB,PTPN12,0.060964895598605864,0.052147384148935785,0.8553673985152905,-0.9957209458434592,0.26081259580492766,0.5106981454880443,0.04483423944163504,descriptive_alignment_not_confounding_proof
CBFA2T3+FEV,CBFA2T3,FEV,0.1266438470928303,0.07430203012706789,0.5867006714712661,1.3851303371985566,0.24859835707241085,-0.49859638694279657,0.06440754567104036,descriptive_alignment_not_confounding_proof
CEBPB+MAPK1,CEBPB,MAPK1,0.09193761167078005,0.05506218285624698,0.5989081275400049,-1.01214443881756,0.24171103016388715,0.49164115995702307,0.04794803279568956,descriptive_alignment_not_confounding_proof
HOXC13+ZC3HAV1,HOXC13,ZC3HAV1,0.05280954476545722,0.0286174100584494,0.5418984425173095,-0.5196119878018224,0.23583920510065612,0.4856327883294704,0.025016278480851112,descriptive_alignment_not_confounding_proof
