split,model,canonical_perturbation,mse,mae,delta_pearson,cosine
train,train_condition_balanced_perturbed_mean,PTPN13,0.001233996891240545,0.010924357746924174,0.586569955723088,0.5880155882245984
train,train_condition_balanced_perturbed_mean,PTPN9,0.0009534080430012532,0.010671155714221166,0.6210151389445827,0.6136406448447257
train,train_condition_balanced_perturbed_mean,RHOXF2BB,0.002340327111376051,0.015184479451053026,0.7727088014587981,0.7737645305193231
train,train_condition_balanced_perturbed_mean,RREB1,0.0010973598416726467,0.0108472539950498,0.6537256533780182,0.6511489803466602
train,train_condition_balanced_perturbed_mean,RUNX1T1,0.0013949387740758857,0.011233576886081644,0.11408071628818373,0.1157015072882008
train,train_condition_balanced_perturbed_mean,S1PR2,0.002034366833947895,0.012725707041472184,0.5958965914709403,0.5960600466551647
train,train_condition_balanced_perturbed_mean,SAMD1,0.0009693230765860828,0.009345409270448343,0.8335306650088954,0.8340343141396747
train,train_condition_balanced_perturbed_mean,SET,0.004233709741692257,0.018301219789980668,0.39310346554196834,0.39156237632100577
train,train_condition_balanced_perturbed_mean,SGK1,0.0010436251725113655,0.009852200759378857,0.765241064768776,0.7635612791678242
train,train_condition_balanced_perturbed_mean,SLC38A2,0.0020700709395454014,0.014159068056226704,-0.24566999086689728,-0.2464711788921641
train,train_condition_balanced_perturbed_mean,SLC4A1,0.0032822813216116355,0.01608798050158945,0.19256434684392615,0.18497674073468495
train,train_condition_balanced_perturbed_mean,SLC6A9,0.0012486370361510556,0.011310082959372678,0.5064972504796273,0.5086602173643777
train,train_condition_balanced_perturbed_mean,SNAI1,0.002098284904165679,0.012498837469309965,0.4272068067121968,0.4282289928373471
train,train_condition_balanced_perturbed_mean,SPI1,0.004883170397092161,0.02169865873694776,0.7297348804827001,0.7299920332329605
train,train_condition_balanced_perturbed_mean,STIL,0.0006626109370728111,0.009064019538490564,0.6908641596008455,0.6888752864045031
train,train_condition_balanced_perturbed_mean,TBX2,0.002786358786127376,0.012906167061448714,0.427787289654087,0.42597341272762956
train,train_condition_balanced_perturbed_mean,TBX3,0.004116054472433822,0.011953220317528289,0.2649343765824349,0.2616770922078899
train,train_condition_balanced_perturbed_mean,TGFBR2,0.0011999282723147882,0.011916608616043786,0.3026698032070836,0.2966975605284906
train,train_condition_balanced_perturbed_mean,TMSB4X,0.0019910037030554544,0.01150381874239899,0.22982057168876663,0.22941084359766659
train,train_condition_balanced_perturbed_mean,TP73,0.010299538529106454,0.02882264800984001,0.81375141032372,0.8143813013787292
train,train_condition_balanced_perturbed_mean,TSC22D1,0.0011614573452032393,0.01054799748631624,0.42117577263533523,0.42315811527285513
train,train_condition_balanced_perturbed_mean,UBASH3A,0.0007093244521444195,0.009018820780005736,0.686977807192988,0.6800431180419256
train,train_condition_balanced_perturbed_mean,UBASH3B,0.000849120279651701,0.010081571904350682,0.6370736863278256,0.6296207780764069
train,train_condition_balanced_perturbed_mean,ZBTB1,0.001670532834034688,0.011795169520145931,0.6941192160820414,0.6940998506763868
train,train_condition_balanced_perturbed_mean,ZBTB10,0.004481945566249882,0.021404863176255746,0.6277377167516464,0.6296013201246908
train,train_condition_balanced_perturbed_mean,ZBTB25,0.0012646358282352524,0.011457250378553226,0.5666389344368191,0.5599544250737446
train,train_condition_balanced_perturbed_mean,ZC3HAV1,0.002283911272395293,0.015084475836087312,-0.2242245768295777,-0.22981320479873565
train,train_condition_balanced_perturbed_mean,ZNF318,0.0009046986443340693,0.01028418459547706,0.5498994231434894,0.5448711773599194
train,train_condition_balanced_perturbed_mean,AHR+FEV,0.010851888483211242,0.029295353410458816,0.6580685295119361,0.6603559157849708
train,train_condition_balanced_perturbed_mean,BAK1+BCL2L11,0.001758685638584515,0.014036282319519483,-0.06777941584047964,-0.06990212475527433
train,train_condition_balanced_perturbed_mean,BCL2L11+TGFBR2,0.001399634476284254,0.012735086181309542,0.337556742788847,0.33245142990453186
train,train_condition_balanced_perturbed_mean,BPGM+SAMD1,0.0033883147164110155,0.01530590388539038,0.736377366756545,0.7344365814557687
train,train_condition_balanced_perturbed_mean,C19orf26+TGFBR2,0.0016057084991426382,0.011833932883630495,0.7453391136762708,0.7435915653876766
train,train_condition_balanced_perturbed_mean,CBL+PTPN12,0.004707626311175946,0.01802250233764622,0.6511947754759507,0.6479547719261974
train,train_condition_balanced_perturbed_mean,CBL+PTPN9,0.003118021597352353,0.016737468259846972,0.7527100255987952,0.7453628203912996
train,train_condition_balanced_perturbed_mean,CBL+TGFBR2,0.00221648733770155,0.013506841772794613,0.6423341975069167,0.6383039269795174
